GenBank Accession	TAIR7 Locus	Tested in AD	Tested in DB	Vector type 1	Vector type 2
AY093349	AT5G06210	AD			pENTR TOPO(KanR)
AY093350	AT3G19390	AD	DB		pENTR TOPO(KanR)
AY093352	AT5G63800	AD	DB		pENTR TOPO(KanR)
AY093353	AT3G46320	AD	DB		pENTR TOPO(KanR)
AY093354	AT2G31530	AD	DB		pENTR TOPO(KanR)
AY093355	AT5G57270	AD	DB		pENTR TOPO(KanR)
AY093356	AT2G22470	AD			pENTR TOPO(KanR)
AY093357	AT1G22360	AD			pENTR TOPO(KanR)
AY093358	AT1G34780	AD	DB		pENTR TOPO(KanR)
AY093359	AT5G03690	AD	DB		pENTR TOPO(KanR)
AY093360	AT1G23820	AD			pENTR TOPO(KanR)
AY093361	AT5G56100	AD			pENTR TOPO(KanR)
AY093362	AT5G42810	AD	DB		pENTR TOPO(KanR)
AY093363	AT2G01540	AD			pENTR TOPO(KanR)
AY093364	AT3G21055	AD			pENTR TOPO(KanR)
AY093365	AT3G10572	AD	DB		pENTR TOPO(KanR)
AY093366	AT1G11240	AD			pENTR TOPO(KanR)
AY093367	AT1G78820	AD	DB		pENTR TOPO(KanR)
AY093368	AT2G39990	AD			pENTR TOPO(KanR)
AY093369	AT5G23870	AD			pENTR TOPO(KanR)
AY093370	AT1G61520	AD	DB		pENTR TOPO(KanR)
AY093371	AT1G50575	AD	DB		pENTR TOPO(KanR)
AY093372	AT2G05070	AD			pENTR TOPO(KanR)
AY093373	AT3G09300	AD			pENTR TOPO(KanR)
AY093374	AT1G64780	AD			pENTR TOPO(KanR)
AY093375	AT1G68140	AD	DB		pENTR TOPO(KanR)
AY093376	AT5G11280	AD			pENTR TOPO(KanR)
AY093377	AT3G17300	AD	DB		pENTR TOPO(KanR)
AY093378	AT3G13224	AD	DB		pENTR TOPO(KanR)
AY093381	AT1G62380	AD	DB		pENTR TOPO(KanR)
AY093383	AT5G53470	AD	DB		pENTR TOPO(KanR)
AY093384	AT5G02870	AD	DB		pENTR TOPO(KanR)
AY093386	AT2G39250	AD	DB		pENTR TOPO(KanR)
AY093387	AT1G15270	AD			pENTR TOPO(KanR)
AY093388	AT1G67090		DB		pENTR TOPO(KanR)
AY093390	AT3G06590	AD	DB		pENTR TOPO(KanR)
AY093708	AT3G23490	AD	DB	pENTR Sfi (SpecR)	
AY093709	AT1G14950	AD	DB	pENTR Sfi (SpecR)	
AY093710	AT5G09850	AD	DB	pENTR Sfi (SpecR)	
AY093711	AT5G12040	AD	DB	pENTR Sfi (SpecR)	
AY093712	AT1G76150	AD	DB	pENTR Sfi (SpecR)	
AY093713	AT3G04780	AD	DB	pENTR Sfi (SpecR)	
AY093716	AT2G33255	AD	DB	pENTR Sfi (SpecR)	
AY093717	AT2G27720		DB	pENTR Sfi (SpecR)	
AY093718	AT5G54855		DB	pENTR Sfi (SpecR)	
AY093719	AT1G32920	AD		pENTR Sfi (SpecR)	
AY093720	AT5G47090	AD	DB	pENTR Sfi (SpecR)	
AY093721	AT4G21210		DB	pENTR Sfi (SpecR)	
AY093722	AT2G15780	AD	DB	pENTR Sfi (SpecR)	
AY093724	AT4G30530	AD	DB	pENTR Sfi (SpecR)	
AY093725	AT2G46600		DB	pENTR Sfi (SpecR)	
AY093726	AT4G03280	AD	DB	pENTR Sfi (SpecR)	
AY093729	AT3G14410	AD	DB	pENTR Sfi (SpecR)	
AY093730	AT2G33480	AD	DB	pENTR Sfi (SpecR)	
AY093733	AT1G55910	AD	DB	pENTR Sfi (SpecR)	
AY093734	AT2G47380	AD	DB	pENTR Sfi (SpecR)	
AY093735	AT5G40510	AD	DB	pENTR Sfi (SpecR)	
AY093736	AT1G80610	AD	DB	pENTR Sfi (SpecR)	
AY093737	AT3G01440	AD	DB	pENTR Sfi (SpecR)	
AY093738	AT1G04340	AD	DB	pENTR Sfi (SpecR)	
AY093740	AT5G64080	AD	DB	pENTR Sfi (SpecR)	
AY093741	AT1G18360	AD	DB	pENTR Sfi (SpecR)	
AY093742	AT3G22845	AD	DB	pENTR Sfi (SpecR)	
AY093743	AT4G39150	AD	DB	pENTR Sfi (SpecR)	
AY093745	AT3G07560	AD	DB	pENTR Sfi (SpecR)	
AY093747	AT1G75080	AD	DB	pENTR Sfi (SpecR)	
AY093748	AT5G60340	AD	DB	pENTR Sfi (SpecR)	
AY093749	AT5G16440	AD	DB	pENTR Sfi (SpecR)	
AY093750	AT4G18040	AD	DB	pENTR Sfi (SpecR)	
AY093751	AT3G17930	AD	DB	pENTR Sfi (SpecR)	
AY093752	AT4G19003	AD	DB	pENTR Sfi (SpecR)	
AY093753	AT1G49200	AD	DB	pENTR Sfi (SpecR)	
AY093756	AT2G27260	AD	DB	pENTR Sfi (SpecR)	
AY093757	AT4G39730	AD	DB	pENTR Sfi (SpecR)	
AY093758	AT2G44790	AD	DB	pENTR Sfi (SpecR)	
AY093759	AT5G17870	AD		pENTR Sfi (SpecR)	
AY093782	AT2G28900	AD	DB	pENTR Sfi (SpecR)	
AY093783	AT5G10360	AD	DB	pENTR Sfi (SpecR)	
AY093784	AT2G37620	AD	DB	pENTR Sfi (SpecR)	
AY093786	AT3G27260	AD		pENTR Sfi (SpecR)	
AY093787	AT1G17530	AD	DB	pENTR Sfi (SpecR)	
AY093788	AT3G15020	AD	DB	pENTR Sfi (SpecR)	
AY093789	AT5G43680	AD	DB	pENTR Sfi (SpecR)	
AY093790	AT2G20670	AD	DB	pENTR Sfi (SpecR)	
AY093791	AT2G30950	AD	DB	pENTR Sfi (SpecR)	
AY093792	AT3G50260	AD	DB	pENTR Sfi (SpecR)	
AY093794	AT1G35460	AD	DB	pENTR Sfi (SpecR)	
AY093795	AT2G39050	AD	DB	pENTR Sfi (SpecR)	
AY093798	AT5G64310		DB	pENTR Sfi (SpecR)	
AY093799	AT3G05640	AD	DB	pENTR Sfi (SpecR)	
AY093801	AT2G44500	AD	DB	pENTR Sfi (SpecR)	
AY093803	AT2G46220		DB	pENTR Sfi (SpecR)	
AY093956	AT1G66530	AD	DB	pENTR Sfi (SpecR)	
AY093957	AT2G41900	AD	DB	pENTR Sfi (SpecR)	
AY093958	AT5G59290	AD	DB	pENTR Sfi (SpecR)	
AY093960	AT1G73590	AD	DB	pENTR Sfi (SpecR)	
AY093961	AT1G14670	AD	DB	pENTR Sfi (SpecR)	
AY093962	AT5G42740	AD	DB	pENTR Sfi (SpecR)	
AY093963	AT1G77260	AD	DB	pENTR Sfi (SpecR)	
AY093965	AT1G15730	AD	DB	pENTR Sfi (SpecR)	
AY093966	AT2G26300	AD	DB	pENTR Sfi (SpecR)	
AY093967	AT2G45660	AD	DB	pENTR Sfi (SpecR)	
AY093968	AT1G52690	AD	DB	pENTR Sfi (SpecR)	
AY093969	AT1G68530	AD	DB	pENTR Sfi (SpecR)	
AY093970	AT4G20350	AD	DB	pENTR Sfi (SpecR)	
AY093972	AT3G45210	AD	DB	pENTR Sfi (SpecR)	
AY093973	AT1G64180	AD	DB	pENTR Sfi (SpecR)	
AY093974	AT1G20580	AD	DB	pENTR Sfi (SpecR)	
AY093975	AT1G08880	AD	DB	pENTR Sfi (SpecR)	
AY093976	AT5G38480	AD	DB	pENTR Sfi (SpecR)	
AY093977	AT1G45130	AD	DB	pENTR Sfi (SpecR)	
AY093980	AT2G47090	AD	DB	pENTR Sfi (SpecR)	
AY093981	AT4G01090	AD	DB	pENTR Sfi (SpecR)	
AY093982	AT4G34710	AD	DB	pENTR Sfi (SpecR)	
AY093983	AT5G65730		DB	pENTR Sfi (SpecR)	
AY093984	AT4G23450	AD	DB	pENTR Sfi (SpecR)	
AY093985	AT1G65410	AD	DB	pENTR Sfi (SpecR)	
AY093986	AT5G62700	AD	DB	pENTR Sfi (SpecR)	
AY093987	AT4G13930	AD	DB	pENTR Sfi (SpecR)	
AY093988	AT1G30120	AD	DB	pENTR Sfi (SpecR)	
AY093989	AT1G20010	AD	DB	pENTR Sfi (SpecR)	
AY093990	AT2G11520	AD	DB	pENTR Sfi (SpecR)	
AY093991	AT5G49870	AD	DB	pENTR Sfi (SpecR)	
AY093992	AT1G64280	AD	DB	pENTR Sfi (SpecR)	
AY093993	AT3G45010	AD	DB	pENTR Sfi (SpecR)	
AY093994	AT5G53860	AD	DB	pENTR Sfi (SpecR)	
AY094000	AT5G24760	AD	DB	pENTR Sfi (SpecR)	
AY094001	AT3G20310	AD	DB	pENTR Sfi (SpecR)	
AY094002	AT1G07890	AD	DB	pENTR Sfi (SpecR)	
AY094003	AT3G50670	AD	DB	pENTR Sfi (SpecR)	
AY094004	AT3G52120	AD	DB	pENTR Sfi (SpecR)	
AY094006	AT1G71810	AD	DB	pENTR Sfi (SpecR)	
AY094007	AT4G33150	AD	DB	pENTR Sfi (SpecR)	
AY094008	AT3G62000	AD	DB	pENTR Sfi (SpecR)	
AY094009	AT4G26750	AD	DB	pENTR Sfi (SpecR)	
AY094011	AT1G50380	AD	DB	pENTR Sfi (SpecR)	
AY094013	AT1G75800	AD	DB	pENTR Sfi (SpecR)	
AY094014	AT2G43710	AD	DB	pENTR Sfi (SpecR)	
AY094017	AT5G58710	AD	DB	pENTR Sfi (SpecR)	
AY094018	AT5G20160	AD	DB	pENTR Sfi (SpecR)	
AY094019	AT2G07340	AD	DB	pENTR Sfi (SpecR)	
AY094020	AT3G20320	AD	DB	pENTR Sfi (SpecR)	
AY094021	AT4G14910	AD	DB	pENTR Sfi (SpecR)	
AY094022	AT3G12390	AD	DB	pENTR Sfi (SpecR)	
AY094023	AT1G54690		DB	pENTR Sfi (SpecR)	
AY094025	AT1G51510	AD	DB	pENTR Sfi (SpecR)	
AY094026	AT1G12310	AD	DB	pENTR Sfi (SpecR)	
AY094027	AT1G24450	AD	DB	pENTR Sfi (SpecR)	
AY094028	AT4G37450	AD	DB	pENTR Sfi (SpecR)	
AY094030	AT4G22212		DB	pENTR Sfi (SpecR)	
AY094031	AT1G31940	AD	DB	pENTR Sfi (SpecR)	
AY094034	AT1G12520	AD	DB	pENTR Sfi (SpecR)	
AY094036	AT3G52300	AD	DB	pENTR Sfi (SpecR)	
AY094037	AT5G21274	AD	DB	pENTR Sfi (SpecR)	
AY094039	AT4G27700	AD	DB	pENTR Sfi (SpecR)	
AY094040	AT3G46460	AD	DB	pENTR Sfi (SpecR)	
AY094041	AT2G46540		DB	pENTR Sfi (SpecR)	
AY094042	AT1G15870	AD	DB	pENTR Sfi (SpecR)	
AY094044	AT3G04920	AD	DB	pENTR Sfi (SpecR)	
AY094045	AT2G47840	AD	DB	pENTR Sfi (SpecR)	
AY094046	AT3G24120	AD	DB	pENTR Sfi (SpecR)	
AY094049	AT5G65390	AD	DB	pENTR Sfi (SpecR)	
AY094053	AT5G02020	AD		pENTR Sfi (SpecR)	
AY094054	AT1G56200	AD	DB	pENTR Sfi (SpecR)	
AY094055	AT3G24740	AD	DB	pENTR Sfi (SpecR)	
AY094056	AT2G23670	AD	DB	pENTR Sfi (SpecR)	
AY094057	AT1G15100	AD	DB	pENTR Sfi (SpecR)	
AY094058	AT5G16840		DB	pENTR Sfi (SpecR)	
AY094059	AT1G65700	AD	DB	pENTR Sfi (SpecR)	
AY096357	AT4G34980	AD	DB	pENTR Sfi (SpecR)	
AY096358	AT5G65720	AD	DB	pENTR Sfi (SpecR)	
AY096359	AT5G11420	AD	DB	pENTR Sfi (SpecR)	
AY096362	AT3G01240	AD	DB	pENTR Sfi (SpecR)	
AY096363	AT3G10370	AD	DB	pENTR Sfi (SpecR)	
AY096365	AT5G57280	AD	DB	pENTR Sfi (SpecR)	
AY096366	AT1G23870	AD	DB	pENTR Sfi (SpecR)	
AY096367	AT5G58800	AD	DB	pENTR Sfi (SpecR)	
AY096368	AT5G24210	AD	DB	pENTR Sfi (SpecR)	
AY096369	AT1G64610	AD	DB	pENTR Sfi (SpecR)	
AY096371	AT1G36730	AD	DB	pENTR Sfi (SpecR)	
AY096372	AT3G60630	AD	DB	pENTR Sfi (SpecR)	
AY096373	AT1G79810	AD	DB	pENTR Sfi (SpecR)	
AY096374	AT5G52120	AD		pENTR Sfi (SpecR)	
AY096375	AT3G54150	AD	DB	pENTR Sfi (SpecR)	
AY096376	AT2G36960	AD	DB	pENTR Sfi (SpecR)	
AY096377	AT4G33910	AD	DB	pENTR Sfi (SpecR)	
AY096378	AT2G14850	AD	DB	pENTR Sfi (SpecR)	
AY096380	AT3G17420	AD	DB	pENTR Sfi (SpecR)	
AY096381	AT3G18780	AD	DB	pENTR Sfi (SpecR)	
AY096382	AT5G64940	AD	DB	pENTR Sfi (SpecR)	
AY096383	AT3G21370	AD	DB	pENTR Sfi (SpecR)	
AY096384	AT3G23550	AD	DB	pENTR Sfi (SpecR)	
AY096387	AT4G28300	AD	DB	pENTR Sfi (SpecR)	
AY096388	AT2G27420	AD	DB	pENTR Sfi (SpecR)	
AY096389	AT2G33550	AD	DB	pENTR Sfi (SpecR)	
AY096390	AT1G79900	AD	DB	pENTR Sfi (SpecR)	
AY096393	AT1G74840	AD	DB	pENTR Sfi (SpecR)	
AY096394	AT2G30160	AD	DB	pENTR Sfi (SpecR)	
AY096395	AT4G23570	AD	DB	pENTR Sfi (SpecR)	
AY096396	AT4G34590	AD	DB	pENTR Sfi (SpecR)	
AY096397	AT5G09810	AD	DB	pENTR Sfi (SpecR)	
AY096402	AT3G21865	AD	DB	pENTR Sfi (SpecR)	
AY096404	AT1G55200	AD	DB	pENTR Sfi (SpecR)	
AY096406	AT2G15430	AD	DB	pENTR Sfi (SpecR)	
AY096407	AT1G52280	AD	DB	pENTR Sfi (SpecR)	
AY096408	AT5G10690	AD	DB	pENTR Sfi (SpecR)	
AY096411	AT1G52630	AD	DB	pENTR Sfi (SpecR)	
AY096412	AT5G16760	AD	DB	pENTR Sfi (SpecR)	
AY096413	AT1G80040	AD	DB	pENTR Sfi (SpecR)	
AY096414	AT2G24060	AD	DB	pENTR Sfi (SpecR)	
AY096415	AT1G05580	AD	DB	pENTR Sfi (SpecR)	
AY096417	AT2G25650	AD	DB	pENTR Sfi (SpecR)	
AY096418	AT2G46200	AD	DB	pENTR Sfi (SpecR)	
AY096422	AT3G22990	AD	DB	pENTR Sfi (SpecR)	
AY096424	AT1G32560	AD	DB	pENTR Sfi (SpecR)	
AY096426	AT5G46350	AD	DB	pENTR Sfi (SpecR)	
AY096427	AT4G25940	AD	DB	pENTR Sfi (SpecR)	
AY096428	AT1G78680	AD	DB	pENTR Sfi (SpecR)	
AY096429	AT5G50870	AD	DB	pENTR Sfi (SpecR)	
AY096430	AT5G47700	AD	DB	pENTR Sfi (SpecR)	
AY096431	AT3G18600	AD	DB	pENTR Sfi (SpecR)	
AY096433	AT3G54230	AD	DB	pENTR Sfi (SpecR)	
AY096434	AT3G43230	AD	DB	pENTR Sfi (SpecR)	
AY096436	AT2G47160	AD	DB	pENTR Sfi (SpecR)	
AY096437	AT1G02690	AD	DB	pENTR Sfi (SpecR)	
AY096438	AT5G41120	AD	DB	pENTR Sfi (SpecR)	
AY096440	AT5G01460	AD	DB	pENTR Sfi (SpecR)	
AY096441	AT3G12685	AD	DB	pENTR Sfi (SpecR)	
AY096445	AT1G27040	AD	DB	pENTR Sfi (SpecR)	
AY096448	AT5G05270	AD	DB	pENTR Sfi (SpecR)	
AY096449	AT5G64560	AD	DB	pENTR Sfi (SpecR)	
AY096450	AT2G28890	AD		pENTR Sfi (SpecR)	
AY096451	No mapping	AD	DB	pENTR Sfi (SpecR)	
AY096453	AT3G55150	AD	DB	pENTR Sfi (SpecR)	
AY096455	AT1G80865	AD	DB	pENTR Sfi (SpecR)	
AY096456	AT2G43510	AD	DB	pENTR Sfi (SpecR)	
AY096457	AT4G29330	AD	DB	pENTR Sfi (SpecR)	
AY096458	AT5G55100	AD	DB	pENTR Sfi (SpecR)	
AY096461	AT5G38600	AD	DB	pENTR Sfi (SpecR)	
AY096462	AT2G29980	AD	DB	pENTR Sfi (SpecR)	
AY096463	AT4G08460	AD	DB	pENTR Sfi (SpecR)	
AY096465	AT4G29360	AD	DB	pENTR Sfi (SpecR)	
AY096466	AT2G43630	AD	DB	pENTR Sfi (SpecR)	
AY096467	AT3G11560	AD	DB	pENTR Sfi (SpecR)	
AY096468	AT4G08700	AD	DB	pENTR Sfi (SpecR)	
AY096469	AT2G32560	AD	DB	pENTR Sfi (SpecR)	
AY096470	AT2G17700	AD	DB	pENTR Sfi (SpecR)	
AY096471	AT3G53040	AD	DB	pENTR Sfi (SpecR)	
AY096473	AT3G13400	AD	DB	pENTR Sfi (SpecR)	
AY096474	AT5G18260	AD	DB	pENTR Sfi (SpecR)	
AY096475	AT2G20340	AD	DB	pENTR Sfi (SpecR)	
AY096476	AT1G47200	AD	DB	pENTR Sfi (SpecR)	
AY096477	AT5G01300	AD	DB	pENTR Sfi (SpecR)	
AY096478	AT4G34660	AD	DB	pENTR Sfi (SpecR)	
AY096481	AT5G59080	AD	DB	pENTR Sfi (SpecR)	
AY096482	AT5G28900	AD	DB	pENTR Sfi (SpecR)	
AY096483	AT1G64750	AD	DB	pENTR Sfi (SpecR)	
AY096484	AT4G14870	AD	DB	pENTR Sfi (SpecR)	
AY096486	AT5G45600	AD	DB	pENTR Sfi (SpecR)	
AY096488	AT2G31290	AD	DB	pENTR Sfi (SpecR)	
AY096490	AT4G24240	AD	DB	pENTR Sfi (SpecR)	
AY096500	AT4G16830	AD	DB	pENTR Sfi (SpecR)	
AY096501	AT4G35600	AD	DB	pENTR Sfi (SpecR)	
AY096502	AT1G21650	AD	DB	pENTR Sfi (SpecR)	
AY096503	AT2G14910	AD	DB	pENTR Sfi (SpecR)	
AY096504	AT4G22920	AD	DB	pENTR Sfi (SpecR)	
AY096506	AT1G66350		DB	pENTR Sfi (SpecR)	
AY096508	AT3G47250	AD		pENTR Sfi (SpecR)	
AY096516	AT4G27260	AD	DB	pENTR Sfi (SpecR)	
AY096518	AT2G39960	AD	DB	pENTR Sfi (SpecR)	
AY096520	AT1G32100	AD	DB	pENTR Sfi (SpecR)	
AY096522	AT3G01750	AD	DB	pENTR Sfi (SpecR)	
AY096525	AT2G27500	AD	DB	pENTR Sfi (SpecR)	
AY096526	AT3G02520	AD	DB	pENTR Sfi (SpecR)	
AY096527	AT3G49160	AD	DB	pENTR Sfi (SpecR)	
AY096530	AT3G54850	AD	DB	pENTR Sfi (SpecR)	
AY096532	AT2G24090	AD	DB	pENTR Sfi (SpecR)	
AY096533	AT5G53990	AD	DB	pENTR Sfi (SpecR)	
AY096534	AT3G07820	AD		pENTR Sfi (SpecR)	
AY096537	AT1G65380	AD	DB	pENTR Sfi (SpecR)	
AY096538	AT4G30520	AD	DB	pENTR Sfi (SpecR)	
AY096539	AT2G26210	AD	DB	pENTR Sfi (SpecR)	
AY096541	AT5G20390	AD	DB	pENTR Sfi (SpecR)	
AY096542	AT1G77370	AD	DB	pENTR Sfi (SpecR)	
AY096543	AT1G59830	AD	DB	pENTR Sfi (SpecR)	
AY096544	AT1G79040	AD	DB	pENTR Sfi (SpecR)	
AY096546	AT1G06270	AD	DB	pENTR Sfi (SpecR)	
AY096547	AT5G07670	AD	DB	pENTR Sfi (SpecR)	
AY096548	AT2G35940	AD	DB	pENTR Sfi (SpecR)	
AY096557	AT2G31955	AD	DB	pENTR Sfi (SpecR)	
AY096558	AT4G18205	AD	DB	pENTR Sfi (SpecR)	
AY096559	AT5G19730	AD	DB	pENTR Sfi (SpecR)	
AY096561	AT3G29090	AD	DB	pENTR Sfi (SpecR)	
AY096563	AT2G31230	AD	DB	pENTR Sfi (SpecR)	
AY096564	AT3G02570	AD	DB	pENTR Sfi (SpecR)	
AY096566	AT2G43980	AD	DB	pENTR Sfi (SpecR)	
AY096567	AT2G03620	AD	DB	pENTR Sfi (SpecR)	
AY096568	AT1G01120	AD	DB	pENTR Sfi (SpecR)	
AY096570	AT5G04920	AD	DB	pENTR Sfi (SpecR)	
AY096571	AT5G08520	AD	DB	pENTR Sfi (SpecR)	
AY096572	AT5G59320	AD	DB	pENTR Sfi (SpecR)	
AY096573	AT1G77145	AD	DB	pENTR Sfi (SpecR)	
AY096574	AT3G60800	AD	DB	pENTR Sfi (SpecR)	
AY096575	AT5G64000	AD	DB	pENTR Sfi (SpecR)	
AY096576	AT1G63480	AD	DB	pENTR Sfi (SpecR)	
AY096577	AT5G65020	AD	DB	pENTR Sfi (SpecR)	
AY096578	AT2G22480	AD	DB	pENTR Sfi (SpecR)	
AY096580	AT1G05510	AD	DB	pENTR Sfi (SpecR)	
AY096582	AT4G38660	AD	DB	pENTR Sfi (SpecR)	
AY096583	AT3G04870	AD	DB	pENTR Sfi (SpecR)	
AY096584	AT5G45800	AD	DB	pENTR Sfi (SpecR)	
AY096585	AT4G08570	AD	DB	pENTR Sfi (SpecR)	
AY096586	AT3G46440	AD	DB	pENTR Sfi (SpecR)	
AY096587	AT5G41340	AD	DB	pENTR Sfi (SpecR)	
AY096588	AT2G27535	AD	DB	pENTR Sfi (SpecR)	
AY096589	AT5G54580	AD	DB	pENTR Sfi (SpecR)	
AY096590	AT4G33710	AD	DB	pENTR Sfi (SpecR)	
AY096592	AT3G47340	AD	DB	pENTR Sfi (SpecR)	
AY096593	AT4G38420	AD	DB	pENTR Sfi (SpecR)	
AY096595	AT3G17410	AD	DB	pENTR Sfi (SpecR)	
AY096596	AT2G14620	AD	DB	pENTR Sfi (SpecR)	
AY096598	AT2G37560	AD	DB	pENTR Sfi (SpecR)	
AY096599	AT1G56330	AD	DB	pENTR Sfi (SpecR)	
AY096600	AT1G58290	AD	DB	pENTR Sfi (SpecR)	
AY096601	AT1G05410	AD	DB	pENTR Sfi (SpecR)	
AY096602	AT1G73840	AD		pENTR Sfi (SpecR)	
AY096604	AT2G47900	AD	DB	pENTR Sfi (SpecR)	
AY096605	AT5G11710	AD	DB	pENTR Sfi (SpecR)	
AY096606	AT1G13000	AD	DB	pENTR Sfi (SpecR)	
AY096607	AT3G62660	AD	DB	pENTR Sfi (SpecR)	
AY096609	AT1G26660	AD	DB	pENTR Sfi (SpecR)	
AY096610	AT2G47210	AD	DB	pENTR Sfi (SpecR)	
AY096611	AT4G00290	AD	DB	pENTR Sfi (SpecR)	
AY096612	AT4G09340	AD	DB	pENTR Sfi (SpecR)	
AY096614	AT5G59140	AD	DB	pENTR Sfi (SpecR)	
AY096615	AT4G10480	AD	DB	pENTR Sfi (SpecR)	
AY096618	AT2G20450	AD	DB	pENTR Sfi (SpecR)	
AY096619	AT5G54585	AD	DB	pENTR Sfi (SpecR)	
AY096620	AT2G41835	AD	DB	pENTR Sfi (SpecR)	
AY096622	AT4G38320	AD	DB	pENTR Sfi (SpecR)	
AY096623	AT3G30841	AD	DB	pENTR Sfi (SpecR)	
AY096624	AT1G27840	AD	DB	pENTR Sfi (SpecR)	
AY096625	AT3G22440	AD	DB	pENTR Sfi (SpecR)	
AY096627	AT1G29850	AD	DB	pENTR Sfi (SpecR)	
AY096628	AT2G44930	AD	DB	pENTR Sfi (SpecR)	
AY096629	AT1G18850	AD	DB	pENTR Sfi (SpecR)	
AY096630	AT5G22460	AD	DB	pENTR Sfi (SpecR)	
AY096631	AT5G65750	AD	DB	pENTR Sfi (SpecR)	
AY096632	AT1G28380	AD	DB	pENTR Sfi (SpecR)	
AY096634	AT4G04940	AD	DB	pENTR Sfi (SpecR)	
AY096635	AT3G54010	AD	DB	pENTR Sfi (SpecR)	
AY096654	AT4G29060	AD	DB	pENTR Sfi (SpecR)	
AY096655	AT4G32600	AD	DB	pENTR Sfi (SpecR)	
AY096657	AT2G21590	AD	DB	pENTR Sfi (SpecR)	
AY096658	AT1G68060	AD	DB	pENTR Sfi (SpecR)	
AY096659	AT4G29010	AD	DB	pENTR Sfi (SpecR)	
AY096661	AT5G47390	AD	DB	pENTR Sfi (SpecR)	
AY096662	AT1G29050	AD	DB	pENTR Sfi (SpecR)	
AY096663	AT2G16880	AD	DB	pENTR Sfi (SpecR)	
AY096665	AT5G66190	AD	DB	pENTR Sfi (SpecR)	
AY096667	AT2G27590	AD	DB	pENTR Sfi (SpecR)	
AY096669	AT1G12120	AD	DB	pENTR Sfi (SpecR)	
AY096670	AT2G37150	AD	DB	pENTR Sfi (SpecR)	
AY096671	AT5G55850	AD	DB	pENTR Sfi (SpecR)	
AY096673	AT5G14660	AD	DB	pENTR Sfi (SpecR)	
AY096674	AT3G13040	AD	DB	pENTR Sfi (SpecR)	
AY096675	AT4G30860	AD	DB	pENTR Sfi (SpecR)	
AY096678	AT3G45090	AD	DB	pENTR Sfi (SpecR)	
AY096679	AT5G56290	AD	DB	pENTR Sfi (SpecR)	
AY096680	AT1G29370	AD	DB	pENTR Sfi (SpecR)	
AY096681	AT2G43750	AD	DB	pENTR Sfi (SpecR)	
AY096682	AT2G17340	AD	DB	pENTR Sfi (SpecR)	
AY096683	AT5G50020	AD	DB	pENTR Sfi (SpecR)	
AY096684	AT5G27120	AD	DB	pENTR Sfi (SpecR)	
AY096685	AT3G01720	AD	DB	pENTR Sfi (SpecR)	
AY096687	AT1G18640	AD	DB	pENTR Sfi (SpecR)	
AY096688	AT3G23325	AD	DB	pENTR Sfi (SpecR)	
AY096689	AT1G64370	AD	DB	pENTR Sfi (SpecR)	
AY096690	AT3G06040	AD	DB	pENTR Sfi (SpecR)	
AY096691	AT2G35690	AD	DB	pENTR Sfi (SpecR)	
AY096692	AT3G10870	AD	DB	pENTR Sfi (SpecR)	
AY096695	AT1G32580	AD	DB	pENTR Sfi (SpecR)	
AY096696	AT1G22450	AD	DB	pENTR Sfi (SpecR)	
AY096697	AT3G56070	AD	DB	pENTR Sfi (SpecR)	
AY096699	AT4G02080	AD	DB	pENTR Sfi (SpecR)	
AY096700	AT4G11100	AD	DB	pENTR Sfi (SpecR)	
AY096701	AT2G37180	AD	DB	pENTR Sfi (SpecR)	
AY096704	AT5G65320	AD	DB	pENTR Sfi (SpecR)	
AY096706	AT5G10110	AD	DB	pENTR Sfi (SpecR)	
AY096708	AT4G00990	AD	DB	pENTR Sfi (SpecR)	
AY096709	AT3G50860	AD	DB	pENTR Sfi (SpecR)	
AY096710	AT1G35470	AD	DB	pENTR Sfi (SpecR)	
AY096713	AT5G06720	AD	DB	pENTR Sfi (SpecR)	
AY096719	AT2G37750	AD	DB	pENTR Sfi (SpecR)	
AY096723	AT1G08000	AD	DB	pENTR Sfi (SpecR)	
AY096724	AT2G35480	AD	DB	pENTR Sfi (SpecR)	
AY096725	AT5G10950	AD	DB	pENTR Sfi (SpecR)	
AY096726	AT4G28910	AD	DB	pENTR Sfi (SpecR)	
AY096727	AT4G10130	AD	DB	pENTR Sfi (SpecR)	
AY096732	AT3G10700	AD	DB	pENTR Sfi (SpecR)	
AY096733	AT1G15570	AD	DB	pENTR Sfi (SpecR)	
AY096734	AT5G11970	AD	DB	pENTR Sfi (SpecR)	
AY096735	AT2G40100	AD	DB	pENTR Sfi (SpecR)	
AY096736	AT3G08950	AD	DB	pENTR Sfi (SpecR)	
AY096737	AT5G46410	AD	DB	pENTR Sfi (SpecR)	
AY096738	AT1G14440	AD	DB	pENTR Sfi (SpecR)	
AY096739	AT3G54920	AD	DB	pENTR Sfi (SpecR)	
AY096743	AT3G27710	AD	DB	pENTR Sfi (SpecR)	
AY096744	AT1G07870	AD	DB	pENTR Sfi (SpecR)	
AY096745	AT5G59480	AD	DB	pENTR Sfi (SpecR)	
AY096746	AT2G40620	AD	DB	pENTR Sfi (SpecR)	
AY096747	AT1G80780	AD	DB	pENTR Sfi (SpecR)	
AY096749	AT1G22750	AD	DB	pENTR Sfi (SpecR)	
AY096750	AT1G03520	AD	DB	pENTR Sfi (SpecR)	
AY096751	AT3G05910	AD	DB	pENTR Sfi (SpecR)	
